,DAT_score
0,88.59412721379843
1,93.3669807362128
2,97.97146864116466
3,86.07694883644147
4,85.81808595620576
5,94.14454101862135
6,83.89195947873286
7,95.66066941531163
8,93.85558454314284
9,94.03639837605705
10,90.57966099992018
11,90.41714682347532
12,91.7726527603188
13,95.95288674443285
14,80.83760918791239
15,91.78230936003797
16,82.389837595527
17,86.95873342714862
18,87.80736549713528
19,82.57058041822421
20,93.28296890476163
21,97.69953855827735
22,91.42362626420405
23,96.93571200982424
24,91.08849757120306
25,96.01977169449933
26,93.55725833432722
27,99.31691828523095
28,86.28937402306822
29,82.04303911910046
30,87.85362094246261
31,85.8622342639053
32,90.0427854321421
33,76.65941174670179
34,82.40724083257633
35,94.40150414634671
36,90.46869670500911
37,86.13396792540374
38,92.4065010042935
39,83.95894029721558
40,86.95857131239906
41,87.93463510902396
42,88.36268281894172
43,76.45366176621876
44,95.51875265192362
45,97.14016241239817
46,93.42001850008621
47,95.65606866511915
48,87.70790134888529
49,90.71760104130668
50,88.86579095053244
51,88.63448967301495
52,77.41236663064475
53,86.63352828385062
54,91.46711899101562
55,87.38093307622489
56,90.5098600808823
57,83.16131349184616
58,100.5814764847567
59,94.28727359342233
60,90.97617312598115
61,99.70735201054951
62,92.88984761916501
63,78.62384816117968
64,96.36971843026717
65,90.01114308250834
66,95.65108034063424
67,102.52665093954296
68,95.40710505164604
69,94.67182785372157
70,87.52761843441266
71,83.45096082559662
72,82.48704790804634
73,88.69313795724122
74,92.61599500548793
75,93.84093431010035
76,93.63854891809473
77,82.91969274850943
78,88.62090804749232
79,85.53460339014245
80,86.44532376593367
81,83.77224843303911
82,89.69546007875121
83,87.62736923094576
84,92.2034384372716
85,89.10221024712271
86,84.82814641359731
87,96.19506987240504
88,98.4570033377339
89,89.01668440238093
90,97.27006515281576
91,89.44768634407548
92,90.8776029144873
93,90.16447418875629
94,97.56756406343989
95,92.39952639084831
96,80.62231399518139
97,83.24702366087946
98,88.22969475211886
99,85.16163396831632
