,perception,animacy,gene,nail,wuthering,genshin,artificial,zombie,twilight,curve
perception,-1.0,,,,,,,,,
animacy,83.01686987692368,-1.0,,,,,,,,
gene,68.97258870297607,91.52912985971231,-1.0,,,,,,,
nail,90.77339136833122,112.51542256049613,85.22067665137253,-1.0,,,,,,
wuthering,103.38506653746941,98.52049810242033,125.11250811488866,114.95427612570566,-1.0,,,,,
genshin,110.5451721632434,75.79535391266725,131.65766469248334,113.98637539089455,76.26352763981237,-1.0,,,,
artificial,60.31470760042158,106.39480525936233,55.6045425283925,69.39627155584182,110.38771697597608,115.15938376535702,-1.0,,,
zombie,91.68030739721267,101.89659783294177,79.20629613106296,80.95815285804075,97.22753901520004,104.48552620019585,93.10218740215417,-1.0,,
twilight,81.79816315923001,95.34216335397697,98.9383155849441,96.83368993077843,67.64216123757545,109.78495724234317,79.3984097505343,54.17286289377689,-1.0,
curve,63.18124686524331,87.86373784717131,71.95318290541046,75.43483438550508,92.94999422177422,113.00981561794221,65.89881008589519,101.7648730606564,80.9187400197495,-1.0
