trial_overall,noise_level,block,presented_pn_ratio,qp_update_intensity,presented_tone_power,correct_interval,response_interval,response_key,is_correct,rt,timestamp
45,0.64,main,0.013978297161936559,0.013978297161936559,0.008946110183639397,2,1,1,False,0.9023194169858471,1743656358.946623
46,1.44,main,0.02645742904841402,0.02645742904841402,0.038098697829716185,1,1,1,True,0.14571641699876636,1743656363.729089
47,0.64,main,0.022963272120200332,0.022963272120200332,0.014696494156928213,1,1,1,True,0.7142618329962716,1743656369.054177
48,0.64,main,0.021964941569282137,0.021964941569282137,0.014057562604340568,1,2,2,False,0.36923274997388944,1743656374.122707
49,1.44,main,0.025459098497495825,0.025459098497495825,0.03666110183639399,2,2,2,True,0.16233149997424334,1743656378.9454238
50,1.44,main,0.024460767946577627,0.024460767946577627,0.03522350584307178,1,1,1,True,0.3611783339874819,1743656384.0143821
51,0.64,main,0.02695659432387312,0.02695659432387312,0.017252220367278796,2,2,2,True,0.5300110839889385,1743656389.1677399
52,1.44,main,0.02346243739565943,0.02346243739565943,0.03378590984974958,1,1,1,True,0.17529429198475555,1743656394.024651
53,1.44,main,0.022963272120200332,0.022963272120200332,0.03306711185308848,2,2,2,True,0.4154057079576887,1743656399.125242
54,1.44,main,0.021964941569282137,0.021964941569282137,0.031629515859766276,2,2,2,True,1.1865696670138277,1743656404.9501991
55,1.44,main,0.02096661101836394,0.02096661101836394,0.03019191986644407,2,1,1,False,0.4126323329983279,1743656410.0257401
56,0.64,main,0.025958263772954925,0.025958263772954925,0.01661328881469115,2,2,2,True,0.34285241697216406,1743656415.0249522
57,1.44,main,0.024460767946577627,0.024460767946577627,0.03522350584307178,2,2,2,True,0.1326125839841552,1743656419.7159271
58,1.44,main,0.023961602671118527,0.023961602671118527,0.03450470784641068,2,1,1,False,0.5291894169640727,1743656424.8887858
59,0.64,main,0.025459098497495825,0.025459098497495825,0.01629382303839733,2,2,2,True,0.17778941697906703,1743656429.7056608
60,1.44,main,0.027954924874791315,0.027954924874791315,0.04025509181969949,1,1,1,True,0.7014046250260435,1743656435.127003
61,0.64,main,0.024959933222036726,0.024959933222036726,0.015974357262103504,1,1,1,True,0.14701883296947926,1743656439.832126
62,1.44,main,0.02745575959933222,0.02745575959933222,0.039536293823038395,1,1,1,True,0.18500566604780033,1743656444.6975071
63,1.44,main,0.02695659432387312,0.02695659432387312,0.03881749582637729,1,1,1,True,0.4721538329613395,1743656449.711909
64,1.44,main,0.02645742904841402,0.02645742904841402,0.038098697829716185,2,2,2,True,0.2922838749946095,1743656454.5152562
65,0.64,main,0.023961602671118527,0.023961602671118527,0.015335425709515857,1,1,1,True,0.41398270800709724,1743656459.626368
66,0.64,main,0.02046744574290484,0.02046744574290484,0.013099165275459098,1,1,1,True,0.4043078749673441,1743656464.72325
67,0.64,main,0.019469115191986644,0.019469115191986644,0.012460233722871453,1,1,1,True,0.45538112497888505,1743656469.89181
68,1.44,main,0.025958263772954925,0.025958263772954925,0.03737989983305509,2,1,1,False,0.4258290419820696,1743656474.95891
69,0.64,main,0.018969949916527545,0.018969949916527545,0.012140767946577629,1,2,2,False,0.1082457919837907,1743656479.784647
70,0.64,main,0.024959933222036726,0.024959933222036726,0.015974357262103504,2,2,2,True,0.21759133401792496,1743656484.718665
